longdist;internat;local;int_disc;billtype;pay;age;gender;marital;children;income;churn
27,09;0;39,74;Нет;Бюджетный;CC;35;Женский;Женат;0;77680;Остается
;0;46,31;Нет;;;53;Мужской;Одинокий;1;37111,5;Остается
23,76;0;;;Бюджетный;Auto;;Женский;;1;37079,4;Остается
9,4;;13,9;Нет;;CH;;Мужской;Одинокий;;81997;Остается
14,15;0;108,43;Да;Бесплатный;Auto;39;Женский;Одинокий;0;16829,6;Остается
7,68;;;Нет;;CC;57;;;1;57272,7;Остается
27,37;0,2;48,9;Да;Бесплатный;CH;;Женский;;1;;Уходит
5,35;;;Да;;;55;Женский;Одинокий;0;40200,7;Уходит
14,77;0;30,42;Нет;Бесплатный;CH;86;Мужской;;0;92167,3;Остается
24,73;;21,17;Нет;Бюджетный;CC;28;Мужской;Одинокий;0;37135,5;Уходит
6,09;4,19;44,91;Нет;Бюджетный;CH;62;Женский;Женат;0;18831,1;Уходит
18,57;0;56,66;Нет;Бюджетный;CD;73;Мужской;Женат;0;19654,9;Остается
24,29;0;13,73;Нет;Бюджетный;CD;62;Мужской;Одинокий;2;49059,4;Остается
10,69;0;38,39;Нет;Бюджетный;CH;23;Мужской;Женат;2;24457,6;Уходит
26,67;0;71,98;Нет;Бюджетный;CC;73;Женский;Женат;0;76660,7;Остается
6,12;0;14,79;Нет;Бесплатный;CH;58;Мужской;Женат;1;4054,55;Остается
19,46;7,11;64,51;Нет;Бюджетный;CH;28;Женский;Одинокий;2;90364,4;Уходит
18,42;6,46;28,07;Да;Бесплатный;CH;35;Женский;Женат;2;50968,9;Уходит
10,97;0;60;Да;Бесплатный;CH;45;Мужской;Женат;0;27170,6;Остается
22,18;0;149,73;Нет;Бесплатный;CC;41;Мужской;Одинокий;1;52231,5;Остается
0;0;4,15;Да;Бесплатный;CH;40;Женский;Одинокий;0;56016;Уходит
20,7;0;20,06;Нет;Бюджетный;CC;93;Мужской;Женат;1;25949;Остается
15,51;0;5,1;Нет;Бюджетный;CC;46;Мужской;Женат;0;34805,5;Остается
0;0;4,83;Нет;Бесплатный;CC;59;Мужской;Одинокий;0;60111,8;Уходит
13,15;0;33,94;Нет;Бесплатный;CH;37;Мужской;Одинокий;1;13126,9;Остается
5,66;0;10,2;Нет;Бюджетный;Auto;36;Женский;Женат;2;96283,6;Остается
24,15;0;10,48;Да;Бюджетный;CC;38;Женский;Женат;0;17499,2;Остается
29,68;4,22;233,99;Да;Бюджетный;Auto;32;Женский;Женат;1;47211,6;Уходит
